Institute,Branch,category,gen,mews,fews,mobc,fobc,msc,fsc,mst,fst
"Engineering College, Ajmer",CIVIL ENGINEERING(SFS),SFS,5299,1552,-1,1646,-1,348,-1,135,40
"Engineering College, Ajmer",COMPUTER ENGINEERING(SFS),SFS,1188,266,117,315,118,254,119,142,-1
"Engineering College, Ajmer",ELECTRICAL ENGINEERING(SFS),SFS,6059,1306,-1,1526,-1,456,-1,205,-1
"Engineering College, Ajmer",ELECTRO. INST. & CONTROL(SFS),SFS,10096,1638,-1,2899,-1,-1,-1,-1,0
"Engineering College, Ajmer",ELECTRONICS & COMM.(SFS),SFS,8775,1433,-1,2478,-1,921,-1,-1,-1
"Engineering College, Ajmer",INFORMATION TECHNOLOGY(SFS),SFS,2989,525,209,655,-1,380,185,68,-1
"Engineering College, Ajmer",MECHANICAL ENGINEERING(SFS),SFS,7577,1174,-1,1799,-1,505,-1,313,-1
"Engineering College, Ajmer",ELECTRO. INST. & CONTROL(GAS),GAS,9441,1532,-1,2234,-1,766,-1,-1,-1
"Engineering College, Ajmer",ELECTRONICS  AND  COMM.(GAS),GAS,4667,926,309,1401,327,433,-1,117,33
"Engineering College, Ajmer",MECHANICAL(GAS),GAS,6013,1280,-1,1531,-1,462,-1,97,-1
"M.L.V. Textile and Engineering College, Bhilwara",ELECTRONICS AND COMM.(SFS),SFS,9722,-1,-1,-1,-1,-1,-1,-1,0
"M.L.V. Textile and Engineering College, Bhilwara",INFORMATION TECHNOLOGY(SFS),SFS,7708,1235,416,1850,506,-1,-1,-1,-1
"M.L.V. Textile and Engineering College, Bhilwara",MECHANICAL ENGINEERING(SFS),SFS,10386,-1,-1,-1,-1,-1,-1,-1,-1
"M.L.V. Textile and Engineering College, Bhilwara",TEXTILE CHEMISTRY(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,0
"M.L.V. Textile and Engineering College, Bhilwara",TEXTILE TECHNOLOGY(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,-1
"M.L.V. Textile and Engineering College, Bhilwara",TEXTILE CHEMISTRY(GAS),GAS,10563,-1,-1,-1,-1,-1,-1,-1,0
"M.L.V. Textile and Engineering College, Bhilwara",TEXTILE TECHNOLOGY(GAS),GAS,10380,-1,-1,-1,-1,-1,-1,-1,-1
"M.L.V. Textile and Engineering College, Bhilwara",COMPUTER SCIENCE AND ENGINEERING-IOT(SFS),SFS,2682,706,435,840,369,193,82,-1,0
"Engineering College, Bikaner",CIVIL ENGINEERING(SFS),SFS,10590,-1,-1,2715,-1,-1,-1,366,-1
"Engineering College, Bikaner",ELECTRICAL ENGINEERING(SFS),SFS,10332,1478,-1,-1,-1,-1,-1,-1,-1
"Engineering College, Bikaner",ELECTRONICS & COMM.(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Engineering College, Bikaner",INFORMATION TECHNOLOGY(SFS),SFS,6549,1113,344,1745,-1,-1,-1,-1,0
"Engineering College, Bikaner",MECHANICAL ENGINEERING(SFS),SFS,10007,-1,-1,-1,-1,-1,-1,-1,-1
"Engineering College, Bikaner",ELECTRICAL (II SHIFT)(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,0
"Engineering College, Bikaner",MECHANICAL (II SHIFT)(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,0
"Engineering College, Bikaner",COMPUTER SCIENCE & ENGG.(SFS),SFS,3259,580,238,1024,403,756,-1,-1,-1
